1024,FPS,Name,Socket,Release Date,Frequency,Turbo Clock,TDP,Codename,Generation,# of Cores,# of Threads,Cache L1 Per Core,Cache L1,Cache L2 Per Core,Cache L2,Cache L3,Launch Price
Core i7-11700K,139,Core i7-11700K,LGA1200,"Mar 16th, 2021",3.6,5,,Rocket Lake,Core i7 (Rocket Lake-S),8,16,80,640,512,4,16,$399 
Ryzen 5 5600X,138,Ryzen 5 5600X,AM4,"Nov 5th, 2020",3.7,4.6,,Vermeer,Ryzen 5 (Zen 3 (Vermeer)),6,12,64,384,512,3,32,$299 
Ryzen 5 5600,137,Ryzen 5 5600,AM4,"Apr 20th, 2022",3.5,4.4,,Vermeer,Ryzen 5 (Zen 3 (Vermeer)),6,12,64,384,512,3,32,$199 
Core i5-11600K,133,Core i5-11600K,LGA1200,"Mar 16th, 2021",3.9,4.9,,Rocket Lake,Core i5 (Rocket Lake-S),6,12,80,480,256,"1,5",12,$262 
Core i5-11400,131,Core i5-11400,LGA1200,"Mar 16th, 2021",2.6,4.4,,Rocket Lake,Core i5 (Rocket Lake-S),6,12,80,480,512,3,12,$182 
Core i3-13100F,127,Core i3-13100F,LGA1700,"Jan 4th, 2023",3.4,4.5,,Raptor Lake-S,Core i3 (Raptor Lake),4,8,80,320,1280,5,12,$109 
Core i3-12100,126,Core i3-12100,LGA1700,"Jan 4th, 2022",3.3,4.3,60 W,Alder Lake-S,Core i3 (Alder Lake-S),4,8,80,320,1280,5,12,$122 
Ryzen 5 5600G,118,Ryzen 5 5600G,AM4,"Apr 13th, 2021",3.9,4.4,,Cezanne,Ryzen 5 (Zen 3 (Cezanne)),6,12,64,384,512,3,16,$259 
Ryzen 5 5500,118,Ryzen 5 5500,AM4,"Apr 4th, 2022",3.6,4.2,,Cezanne,Ryzen 5 (Zen 3 (Cezanne)),6,12,64,384,512,3,16,$159 
Ryzen 5 3600X,110,Ryzen 5 3600X,AM4,"Jul 7th, 2019",3.8,4.4,,Matisse,Ryzen 5 (Zen 2 (Matisse)),6,12,64,384,512,3,32,$249 
Ryzen 5 3600,107,Ryzen 5 3600,AM4,"Jul 7th, 2019",3.6,4.2,,Matisse,Ryzen 5 (Zen 2 (Matisse)),6,12,64,384,512,3,32,$199 
Ryzen 3 3300X,104,Ryzen 3 3300X,AM4,"Apr 24th, 2020",3.8,4.3,,Matisse,Ryzen 3 (Zen 2 (Matisse)),4,8,64,256,512,2,16,$120 
Core i3-10100,96,Core i3-10100,LGA1200,"Apr 30th, 2020",3.6,4.3,65 W,Comet Lake,Core i3 (Comet Lake),4,8,64,256,256,1,6,
