GPU Model, Status   
GeForce RTX 5090 OK  
GeForce RTX 4090 OK  
Radeon RX 7900 XT, OK 
GeForce RTX 5080 OK  
GeForce RTX 4080 Super, OK 
GeForce RTX 4080 OK  
Radeon RX 6950 XT, OK 
GeForce RTX 3090 Ti, OK 
Radeon RX 7900 XTX, OK 
GeForce RTX 5070 Ti, OK 
GeForce RTX 3090 OK  
Radeon RX 6900 XT, OK 
GeForce RTX 3080 Ti, OK 
Radeon RX 9070 XT, OK 
Radeon RX 6800 XT, OK 
GeForce RTX 3080 12GB, OK 
GeForce RTX 4070 Ti Super, OK
GeForce RTX 3080 OK  
GeForce RTX 4070 Ti, OK 
Radeon RX 6800 OK  
Radeon RX 9070 OK  
GeForce RTX 5070 OK  
GeForce RTX 4070 Super, OK 
GeForce RTX 3070 Ti, OK 
Radeon RX 6750 XT, OK 
Radeon RX 7900 GRE  
Titan RTX    
Radeon RX 6700 XT  
GeForce RTX 3070   
GeForce RTX 2080 Ti  
GeForce RTX 4070   
Radeon RX 7800 XT  
GeForce RTX 3060 Ti  
GeForce RTX 5060 Ti 16GB 
Radeon RX 6700 10GB  
GeForce RTX 2080 Super  
Radeon RX 9060 XT 16GB 
GeForce RTX 5060 Ti 8GB 
GeForce RTX 2080   
Radeon RX 7700 XT  
Radeon RX 6650 XT  
GeForce RTX 2070 Super  
Intel Arc A770 8GB  
GeForce RTX 4060 Ti 16GB 
Radeon RX 6600 XT  
GeForce RTX 4060 Ti 8GB 
Radeon RX 5700 XT  
GeForce RTX 5060   
Radeon VII    
GeForce GTX 1080 Ti  
GeForce RTX 2060 Super  
Radeon RX 5700   
GeForce RTX 4060   
Radeon RX 7600 XT  
Radeon RX 5600 XT  
Intel Arc B580   
Radeon RX Vega 64  
GeForce RTX 2060   
GeForce GTX 1080   
GeForce RTX 3050   
GeForce GTX 1070 Ti  
Radeon RX Vega 56  
GeForce RTX 3060 12GB  
Intel Arc B570   
Intel Arc A770 16GB  
GeForce GTX 1660 Super  
GeForce GTX 1660 Ti  
GeForce GTX 1070   
Radeon RX 7600   
GeForce GTX 1660   
Intel Arc A750   
Radeon RX 5500 XT 8GB 
Intel Arc A580   
Radeon RX 590   
Radeon RX 6600   
GeForce GTX 980 Ti  
Radeon RX 580 8GB  
Radeon R9 Fury X  
GeForce GTX 1650 Super  
Radeon RX 5500 XT 4GB 
GeForce GTX 1060 6GB  
Radeon RX 6500 XT  
Radeon R9 390   
GeForce GTX 980   
GeForce GTX 1650 GDDR6  
Intel Arc A380   
Radeon RX 570 4GB  
GeForce GTX 1650   
GeForce GTX 970   
Radeon RX 6400   
GeForce GTX 1050 Ti  
GeForce GTX 1630   
Radeon RX 560 4GB  
GeForce GTX 1060 3GB  
GeForce GTX 1050   
Radeon RX 550 4GB  
GeForce GT 1030   
